line,sid,msg,rule
876,1421,PROTOCOL-SNMP AgentX/tcp request,"alert tcp $EXTERNAL_NET any -> $HOME_NET 705 ( msg:""PROTOCOL-SNMP AgentX/tcp request""; flow:stateless; metadata:policy max-detect-ips drop,ruleset community; service:snmp; reference:bugtraq,4088; reference:bugtraq,4089; reference:bugtraq,4132; reference:cve,2002-0012; reference:cve,2002-0013; classtype:attempted-recon; sid:1421; rev:19; )"
1073,1641,SERVER-OTHER DB2 dos attempt,"alert tcp $EXTERNAL_NET any -> $HOME_NET 6789:6790 ( msg:""SERVER-OTHER DB2 dos attempt""; flow:to_server,established; isdataat:0; isdataat:!1; metadata:ruleset community; reference:bugtraq,3010; reference:cve,2001-1143; reference:nessus,10871; classtype:denial-of-service; sid:1641; rev:16; )"
1791,2462,SERVER-OTHER Ethereal IGMP IGAP account overflow attempt,"alert ip any any -> any any ( msg:""SERVER-OTHER Ethereal IGMP IGAP account overflow attempt""; ip_proto:2; byte_test:1,>,63,0; byte_test:1,<,67,0; byte_test:1,>,16,12; metadata:ruleset community; reference:bugtraq,9952; reference:cve,2004-0176; reference:cve,2004-0367; classtype:attempted-admin; sid:2462; rev:10; )"
1792,2463,SERVER-OTHER Ethereal IGMP IGAP message overflow attempt,"alert ip any any -> any any ( msg:""SERVER-OTHER Ethereal IGMP IGAP message overflow attempt""; ip_proto:2; byte_test:1,>,63,0; byte_test:1,<,67,0; byte_test:1,>,64,13; metadata:ruleset community; reference:bugtraq,9952; reference:cve,2004-0176; reference:cve,2004-0367; classtype:attempted-admin; sid:2463; rev:10; )"
1793,2464,SERVER-OTHER Ethereal EIGRP prefix length overflow attempt,"alert ip any any -> any any ( msg:""SERVER-OTHER Ethereal EIGRP prefix length overflow attempt""; ip_proto:88; byte_test:1,>,32,44; metadata:ruleset community; reference:bugtraq,9952; reference:cve,2004-0176; reference:cve,2004-0367; classtype:attempted-admin; sid:2464; rev:10; )"
1802,2508,OS-WINDOWS DCERPC NCACN-IP-TCP lsass DsRolerUpgradeDownlevelServer overflow attempt,"alert tcp $EXTERNAL_NET any -> $HOME_NET [135,139,445,593,1024:] ( msg:""OS-WINDOWS DCERPC NCACN-IP-TCP lsass DsRolerUpgradeDownlevelServer overflow attempt""; flow:to_server,established; dce_iface:uuid 3919286a-b10c-11d0-9ba8-00c04fd92ef5; dce_opnum:""9""; dce_stub_data; byte_test:4,>,256,0,dce; metadata:policy max-detect-ips drop,ruleset community; service:netbios-ssn; reference:bugtraq,10108; reference:cve,2003-0533; reference:nessus,12205; reference:url,technet.microsoft.com/en-us/security/bulletin/MS04-011; classtype:attempted-admin; sid:2508; rev:24; )"
1803,2511,OS-WINDOWS DCERPC NCADG-IP-UDP lsass DsRolerUpgradeDownlevelServer overflow attempt,"alert udp $EXTERNAL_NET any -> $HOME_NET [135,138,1024:] ( msg:""OS-WINDOWS DCERPC NCADG-IP-UDP lsass DsRolerUpgradeDownlevelServer overflow attempt""; dce_iface:uuid 3919286a-b10c-11d0-9ba8-00c04fd92ef5; dce_opnum:""9""; dce_stub_data; byte_test:4,>,256,0,dce; metadata:policy max-detect-ips drop,ruleset community; service:netbios-dgm; reference:bugtraq,10108; reference:cve,2003-0533; reference:nessus,12205; reference:url,technet.microsoft.com/en-us/security/bulletin/MS04-011; classtype:attempted-admin; sid:2511; rev:22; )"
1804,2523,SERVER-OTHER BGP spoofed connection reset attempt,"alert tcp $EXTERNAL_NET any <> $HOME_NET 179 ( msg:""SERVER-OTHER BGP spoofed connection reset attempt""; flow:established,no_stream; flags:FRS*; detection_filter:track by_dst,count 10,seconds 10; metadata:ruleset community; reference:bugtraq,10183; reference:cve,2004-0230; reference:url,www.uniras.gov.uk/vuls/2004/236929/index.htm; classtype:attempted-dos; sid:2523; rev:15; )"
2135,2921,PROTOCOL-DNS UDP inverse query,"alert udp $EXTERNAL_NET any -> $HOME_NET 53 ( msg:""PROTOCOL-DNS UDP inverse query""; flow:to_server; byte_test:1,<,16,2; byte_test:1,&,8,2; metadata:policy max-detect-ips drop,ruleset community; service:dns; reference:bugtraq,2321; reference:cve,2001-0012; reference:nessus,10605; classtype:attempted-recon; sid:2921; rev:12; )"
2136,2922,PROTOCOL-DNS TCP inverse query,"alert tcp $EXTERNAL_NET any -> $HOME_NET 53 ( msg:""PROTOCOL-DNS TCP inverse query""; flow:to_server,established; byte_test:1,<,16,4; byte_test:1,&,8,4; metadata:policy max-detect-ips drop,ruleset community; service:dns; reference:bugtraq,2321; reference:cve,2001-0012; reference:nessus,10605; classtype:attempted-recon; sid:2922; rev:12; )"
2142,2942,NETBIOS DCERPC NCACN-IP-TCP winreg InitiateSystemShutdown attempt,"alert tcp $EXTERNAL_NET any -> $HOME_NET [139,445] ( msg:""NETBIOS DCERPC NCACN-IP-TCP winreg InitiateSystemShutdown attempt""; flow:to_server,established; dce_iface:uuid 338cd001-2244-31f1-aaaa-900038001003; dce_opnum:""24""; metadata:ruleset community; service:netbios-ssn; reference:url,msdn.microsoft.com/library/default.asp?url=/library/en-us/shutdown/base/initiatesystemshutdown.asp; classtype:protocol-command-decode; sid:2942; rev:14; )"
2154,3017,OS-WINDOWS Microsoft Windows WINS overflow attempt,"alert tcp $EXTERNAL_NET any -> $HOME_NET 42 ( msg:""OS-WINDOWS Microsoft Windows WINS overflow attempt""; flow:to_server,established; byte_test:1,&,64,6; byte_test:1,&,32,6; byte_test:1,&,16,6; byte_test:1,&,8,6; pcre:!""/^.{8}(\x05\x37(\x1E[\x90-\xFF]|[\x1F-\x2F].|\x30[\x00-\x70])|\x00\x00\x00[\x00-\x65]|\x02\x68\x05\xC0)/s""; metadata:policy max-detect-ips drop,ruleset community; service:wins; reference:bugtraq,11763; reference:cve,2004-0567; reference:cve,2004-1080; reference:url,technet.microsoft.com/en-us/security/bulletin/MS04-045; reference:url,www.immunitysec.com/downloads/instantanea.pdf; classtype:misc-attack; sid:3017; rev:17; )"
2224,3114,OS-WINDOWS DCERPC NCACN-IP-TCP llsrpc LlsrConnect overflow attempt,"alert tcp $EXTERNAL_NET any -> $HOME_NET [139,445] ( msg:""OS-WINDOWS DCERPC NCACN-IP-TCP llsrpc LlsrConnect overflow attempt""; flow:to_server,established; dce_iface:uuid 342cfd40-3c6c-11ce-a893-08002b2e9c6d; dce_opnum:""0""; dce_stub_data; byte_test:4,>,52,0,dce; metadata:policy max-detect-ips drop,policy security-ips drop,ruleset community; service:netbios-ssn; reference:bugtraq,12481; reference:cve,2005-0050; reference:url,technet.microsoft.com/en-us/security/bulletin/ms05-010; classtype:attempted-admin; sid:3114; rev:20; )"
2248,3153,PROTOCOL-DNS TCP inverse query overflow,"alert tcp $EXTERNAL_NET any -> $HOME_NET 53 ( msg:""PROTOCOL-DNS TCP inverse query overflow""; flow:to_server,established; byte_test:1,<,16,4; byte_test:1,&,8,4; isdataat:400; metadata:ruleset community; service:dns; reference:bugtraq,134; reference:cve,1999-0009; classtype:attempted-admin; sid:3153; rev:9; )"
2249,3154,PROTOCOL-DNS UDP inverse query overflow,"alert udp $EXTERNAL_NET any -> $HOME_NET 53 ( msg:""PROTOCOL-DNS UDP inverse query overflow""; flow:to_server; isdataat:400; byte_test:1,<,16,2; byte_test:1,&,8,2; metadata:policy max-detect-ips drop,ruleset community; service:dns; reference:bugtraq,134; reference:cve,1999-0009; classtype:attempted-admin; sid:3154; rev:12; )"
2253,3171,OS-WINDOWS DCERPC NCADG-IP-UDP msqueue function 4 overflow attempt,"alert udp $EXTERNAL_NET any -> $HOME_NET [135,1024:] ( msg:""OS-WINDOWS DCERPC NCADG-IP-UDP msqueue function 4 overflow attempt""; dce_iface:uuid 975201b0-59ca-11d0-a8d5-00a0c90d8051; dce_opnum:""4""; dce_stub_data; byte_test:4,>,128,8,dce; metadata:policy max-detect-ips drop,policy security-ips drop,ruleset community; service:dcerpc; reference:cve,2005-0059; reference:url,technet.microsoft.com/en-us/security/bulletin/MS05-017; classtype:attempted-admin; sid:3171; rev:16; )"
2262,3218,OS-WINDOWS DCERPC NCACN-IP-TCP winreg OpenKey overflow attempt,"alert tcp $EXTERNAL_NET any -> $HOME_NET [139,445] ( msg:""OS-WINDOWS DCERPC NCACN-IP-TCP winreg OpenKey overflow attempt""; flow:to_server,established; dce_iface:uuid 338cd001-2244-31f1-aaaa-900038001003; dce_opnum:""15""; dce_stub_data; byte_test:2,>,1024,20,dce; metadata:ruleset community; service:netbios-ssn; reference:bugtraq,1331; reference:cve,2000-0377; reference:url,technet.microsoft.com/en-us/security/bulletin/ms00-040; classtype:attempted-admin; sid:3218; rev:23; )"
2265,3238,OS-WINDOWS DCERPC NCACN-IP-TCP irot IrotIsRunning/Revoke overflow attempt,"alert tcp $EXTERNAL_NET any -> $HOME_NET [135,593,1024:] ( msg:""OS-WINDOWS DCERPC NCACN-IP-TCP irot IrotIsRunning/Revoke overflow attempt""; flow:to_server,established; dce_iface:uuid b9e79e60-3d52-11ce-aaa1-00006901293f; dce_opnum:""1-2""; dce_stub_data; pcre:""/^(\x00\x00\x00\x00|.{12})/s""; byte_jump:4,-4,relative,dce,align; byte_test:4,>,1024,0,relative,dce; metadata:ruleset community; reference:bugtraq,6005; reference:cve,2002-1561; reference:url,technet.microsoft.com/en-us/security/bulletin/ms03-010; classtype:attempted-admin; sid:3238; rev:15; )"
2266,3239,OS-WINDOWS DCERPC NCADG-IP-UDP irot IrotIsRunning/Revoke overflow attempt,"alert udp $EXTERNAL_NET any -> $HOME_NET [135,1024:] ( msg:""OS-WINDOWS DCERPC NCADG-IP-UDP irot IrotIsRunning/Revoke overflow attempt""; dce_iface:uuid b9e79e60-3d52-11ce-aaa1-00006901293f; dce_opnum:""1-2""; dce_stub_data; pcre:""/^(\x00\x00\x00\x00|.{12})/s""; byte_jump:4,-4,relative,dce,align; byte_test:4,>,1024,0,relative,dce; metadata:policy max-detect-ips drop,ruleset community; reference:bugtraq,6005; reference:cve,2002-1561; reference:url,technet.microsoft.com/en-us/security/bulletin/ms03-010; classtype:attempted-admin; sid:3239; rev:15; )"
2271,3409,OS-WINDOWS DCERPC NCACN-IP-TCP IActivation remoteactivation overflow attempt,"alert tcp $EXTERNAL_NET any -> $HOME_NET [135,139,445,593,1024:] ( msg:""OS-WINDOWS DCERPC NCACN-IP-TCP IActivation remoteactivation overflow attempt""; flow:to_server,established; dce_iface:uuid 4d9f4ab8-7d1c-11cf-861e-0020af6e7c57; dce_opnum:""0""; dce_stub_data; byte_test:4,>,256,52,dce; metadata:policy max-detect-ips drop,ruleset community; service:dcerpc,netbios-ssn; reference:bugtraq,8205; reference:cve,2003-0352; reference:cve,2003-0528; reference:cve,2003-0715; reference:url,technet.microsoft.com/en-us/security/bulletin/MS03-026; reference:url,technet.microsoft.com/en-us/security/bulletin/MS03-039; classtype:attempted-admin; sid:3409; rev:18; )"
2292,,MALWARE-CNC Win.Trojan.Hydraq variant outbound connection,"alert tcp $HOME_NET any -> $EXTERNAL_NET 443 ( msg:""MALWARE-CNC Win.Trojan.Hydraq variant outbound connection""; flow:to_server,established; content:""|FF FF FF FF FF FF 00 00 FE FF FF FF FF FF FF FF FF FF 88 FF|"",depth 20; metadata:impact_flag red,ruleset community; service:ssl; reference:url,www.virustotal.com/"
2305,19678,SERVER-OTHER multiple products blacknurse ICMP denial of service attempt,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""SERVER-OTHER multiple products blacknurse ICMP denial of service attempt""; icode:3; itype:3; detection_filter:track by_src,count 250,seconds 1; metadata:policy max-detect-ips drop,ruleset community; reference:cve,2011-1871; reference:url,soc.tdc.dk/blacknurse/blacknurse.pdf; reference:url,technet.microsoft.com/en-us/security/bulletin/MS11-064; reference:url,technet.microsoft.com/en-us/security/bulletin/MS11-083; classtype:attempted-dos; sid:19678; rev:10; )"
2521,,MALWARE-CNC Win.Trojan.Zebrocy outbound data connection,"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""MALWARE-CNC Win.Trojan.Zebrocy outbound data connection""; flow:to_server,established; http_method; content:""POST""; http_uri; content:"".php""; http_header; content:""User|2D|Agent|3A 20|Mozilla|2F|3.0|20 28|compatible|3B 20|Indy Library|29 0D 0A|""; http_client_body; content:""form-data|3B| name=|22|userfile|22 3B| filename="",fast_pattern,nocase; metadata:impact_flag red,policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; service:http; reference:url,www.virustotal.com/"
2787,,MALWARE-CNC Win.Trojan.ZeroAccess Download Headers,"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""MALWARE-CNC Win.Trojan.ZeroAccess Download Headers""; flow:to_server,established; http_raw_uri; bufferlen:5<=>14; http_header; content:""|0D 0A|Accept: */*|0D 0A|Accept-Encoding: identity, *|3B|q=0|0D 0A|Connection: close|0D 0A|User-Agent: "",fast_pattern,nocase; pkt_data; content:"".exe HTTP/1.0|0D 0A|Host: ""; http_uri; pcre:""/^\x2f[a-z\d]{1,8}\.exe$/i""; metadata:impact_flag red,ruleset community; service:http; reference:url,www.virustotal.com/"
2859,,MALWARE-CNC Win.Trojan.DomaIQ variant outbound connection,"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""MALWARE-CNC Win.Trojan.DomaIQ variant outbound connection""; flow:to_server,established; content:""/trace/Start HTTP/1.1|0D 0A|Host: "",fast_pattern,nocase; http_uri; content:""/debug/Version/"",depth 15; http_header; content:!""Accept""; content:!""User-Agent:""; metadata:impact_flag red,ruleset community; service:http; reference:url,file-analyzer.net/analysis/1546/6325/0/html"
2893,,MALWARE-CNC Win.Trojan.Necurs variant outbound connection,"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""MALWARE-CNC Win.Trojan.Necurs variant outbound connection""; flow:to_server,established; http_raw_uri; bufferlen:13; pkt_data; content:""/forum/db.php HTTP/1.1|0D 0A|Content-Type: application/octet-stream|0D 0A|Host: "",fast_pattern,nocase; http_header; content:!""User-Agent:""; content:!""Referer:""; content:!""Accept""; metadata:ruleset community; service:http; reference:url,file-analyzer.net/analysis/2306/8066/0/html"
3384,40063,OS-LINUX Linux Kernel Challenge ACK provocation attempt,"alert tcp $EXTERNAL_NET any -> $HOME_NET any ( msg:""OS-LINUX Linux Kernel Challenge ACK provocation attempt""; flow:to_server,no_stream; flags:R; detection_filter:track by_src,count 200,seconds 1; metadata:policy max-detect-ips drop,ruleset community; reference:bugtraq,91704; reference:cve,2016-5696; reference:cve,2017-7285; classtype:attempted-admin; sid:40063; rev:5; )"
3510,,MALWARE-CNC Win.Trojan.Fareit variant outbound connection,"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""MALWARE-CNC Win.Trojan.Fareit variant outbound connection""; flow:to_server,established; http_uri; content:""/gate.php"",fast_pattern,nocase; http_header; content:""WebKitFormBoundary""; pkt_data; content:""name=|22|getconfig|22|""; http_header; content:""Referer|3A 20|""; content:""Connection|3A 20|close|0D 0A|""; metadata:impact_flag red,ruleset community; service:http; reference:url,virustotal.com/"
3518,,MALWARE-CNC Win.Trojan.Trickbot self-signed certificate exchange,"alert tcp $EXTERNAL_NET [443,447,449] -> $HOME_NET any ( msg:""MALWARE-CNC Win.Trojan.Trickbot self-signed certificate exchange""; flow:to_client,established; content:""|16 03|""; content:""|30 82|"",distance 13; content:""3t2t3rgeg""; content:""fg2eq34df"",fast_pattern,nocase; metadata:impact_flag red,ruleset community; service:ssl; reference:url,virustotal.com/"
3519,,MALWARE-CNC Win.Trojan.Trickbot self-signed certificate exchange,"alert tcp $EXTERNAL_NET [443,447,449] -> $HOME_NET any ( msg:""MALWARE-CNC Win.Trojan.Trickbot self-signed certificate exchange""; flow:to_client,established; content:""|16 03|""; content:""|30 82|"",distance 13; content:""f2tee4""; content:""rvgvtfdf"",fast_pattern,nocase; metadata:impact_flag red,ruleset community; service:ssl; reference:url,virustotal.com/"
3524,,MALWARE-CNC Win.Trojan.PandaZeus malicious certificate exchange,"alert tcp $EXTERNAL_NET 443 -> $HOME_NET any ( msg:""MALWARE-CNC Win.Trojan.PandaZeus malicious certificate exchange""; flow:to_client,established; content:""|16 03|""; content:""|30 82|"",within 2,distance 13; content:""Let's Encrypt""; content:""gloverkentok.us"",fast_pattern,nocase; metadata:impact_flag red,ruleset community; service:ssl; reference:url,virustotal.com/"
3525,,MALWARE-CNC Win.Trojan.PandaZeus self-signed certificate exchange,"alert tcp $EXTERNAL_NET 443 -> $HOME_NET any ( msg:""MALWARE-CNC Win.Trojan.PandaZeus self-signed certificate exchange""; flow:to_client,established; content:""|16 03|""; content:""|30 82|"",within 2,distance 13; content:""My Company Name LTD.""; content:""domain.com"",fast_pattern,nocase; metadata:impact_flag red,ruleset community; service:ssl; reference:url,virustotal.com/"
3528,,POLICY-OTHER NetSupport Manager RAT outbound connection detected,"alert http ( msg:""POLICY-OTHER NetSupport Manager RAT outbound connection detected""; flow:to_server,established; http_header; content:""User-Agent|3A| NetSupport Manager/"",fast_pattern,nocase; metadata:ruleset community; service:http; reference:url,blogs.vmware.com/security/2023/11/netsupport-rat-the-rat-king-returns.html; reference:url,www.virustotal.com/"
3557,,MALWARE-CNC Win.Trojan.Rokrat variant outbound connection detected,"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""MALWARE-CNC Win.Trojan.Rokrat variant outbound connection detected""; flow:to_server,established; http_uri; content:"".php?id=""; content:""fp_vs="",fast_pattern,nocase; content:""os_vs=""; metadata:impact_flag red,ruleset community; service:http; reference:url,www.virustotal.com/"
3563,,MALWARE-CNC Win.Trojan.Silverstar outbound connection,"alert tcp $HOME_NET any -> $EXTERNAL_NET any ( msg:""MALWARE-CNC Win.Trojan.Silverstar outbound connection""; flow:to_server,established; http_uri; content:""response=fallback"",fast_pattern,nocase; content:""/api.php?"",depth 9; content:""gpu="",nocase; metadata:impact_flag red,policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; service:http; reference:url,www.virustotal.com/"
3566,,MALWARE-CNC Win.Trojan.UDPOS outbound command and control IP address check,"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""MALWARE-CNC Win.Trojan.UDPOS outbound command and control IP address check""; flow:to_server,established; http_uri; content:""/index.php?udpool="",fast_pattern,nocase; metadata:impact_flag red,policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; service:http; reference:url,blogs.forcepoint.com/security-labs/udpos-exfiltrating-credit-card-data-dns; reference:url,www.virustotal.com/"
3567,,MALWARE-CNC Win.Trojan.UDPOS outbound system information disclousre,"alert udp $HOME_NET any -> $EXTERNAL_NET 53 ( msg:""MALWARE-CNC Win.Trojan.UDPOS outbound system information disclousre""; flow:to_server; isdataat:150; content:""|0F|""; content:""|03|bin"",within 4,distance 15,fast_pattern; metadata:impact_flag red,policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; service:dns; reference:url,blogs.forcepoint.com/security-labs/udpos-exfiltrating-credit-card-data-dns; reference:url,www.virustotal.com/"
3568,,MALWARE-CNC Win.Trojan.UDPOS outbound heartbeat,"alert udp $HOME_NET any -> $EXTERNAL_NET 53 ( msg:""MALWARE-CNC Win.Trojan.UDPOS outbound heartbeat""; flow:to_server; isdataat:150; content:""|0F|""; content:""|04|ping"",within 5,distance 15,fast_pattern; metadata:impact_flag red,policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; service:dns; reference:url,blogs.forcepoint.com/security-labs/udpos-exfiltrating-credit-card-data-dns; reference:url,www.virustotal.com/"
3569,,MALWARE-CNC Win.Trojan.UDPOS outbound data exfiltration,"alert udp $HOME_NET any -> $EXTERNAL_NET 53 ( msg:""MALWARE-CNC Win.Trojan.UDPOS outbound data exfiltration""; flow:to_server; isdataat:150; content:""|0F|""; content:""|03|trp"",within 4,distance 15,fast_pattern; metadata:impact_flag red,policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; service:dns; reference:url,attack.mitre.org/techniques/T1020; reference:url,blogs.forcepoint.com/security-labs/udpos-exfiltrating-credit-card-data-dns; reference:url,www.virustotal.com/"
3570,,MALWARE-CNC Win.Trojan.UDPOS outbound data exfiltration,"alert udp $HOME_NET any -> $EXTERNAL_NET 53 ( msg:""MALWARE-CNC Win.Trojan.UDPOS outbound data exfiltration""; flow:to_server; isdataat:150; content:""|0F|""; content:""|04|note"",within 5,distance 15,fast_pattern; metadata:impact_flag red,policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; service:dns; reference:url,attack.mitre.org/techniques/T1020; reference:url,blogs.forcepoint.com/security-labs/udpos-exfiltrating-credit-card-data-dns; reference:url,www.virustotal.com/"
3577,,MALWARE-CNC Win.Trojan.CrossRAT outbound connection attempt,"alert tcp $HOME_NET any -> $EXTERNAL_NET any ( msg:""MALWARE-CNC Win.Trojan.CrossRAT outbound connection attempt""; flow:to_server,established; content:""[^8]&&&"",fast_pattern,nocase; content:""[^8]&&&""; isdataat:!0,relative; metadata:impact_flag red,policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; reference:url,www.virustotal.com/"
3578,,MALWARE-CNC Win.Trojan.Bandook/Anbacas outbound connection attempt,"alert tcp $HOME_NET any -> $EXTERNAL_NET any ( msg:""MALWARE-CNC Win.Trojan.Bandook/Anbacas outbound connection attempt""; flow:to_server,established; content:""QDAwMD"",depth 6,fast_pattern; content:""&&&"",within 200; isdataat:!0,relative; metadata:impact_flag red,policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; reference:url,info.lookout.com/rs/051-ESQ-475/images/Lookout_Dark-Caracal_srr_20180118_us_v.1.0.pdf; reference:url,www.virustotal.com/"
3579,,MALWARE-CNC User-Agent known malicious user-agent string Uploador - Win.Trojan.CrossRAT,"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""MALWARE-CNC User-Agent known malicious user-agent string Uploador - Win.Trojan.CrossRAT""; flow:to_server,established; http_header; content:""User-Agent|3A| Uploador|0D 0A|"",fast_pattern,nocase; metadata:impact_flag red,policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; service:http; reference:url,www.virustotal.com/"
3622,,MALWARE-CNC Win.Ransomware.Matrix outbound connection,"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""MALWARE-CNC Win.Ransomware.Matrix outbound connection""; flow:to_server,established; http_uri; content:""add.php?apikey=""; content:""&compuser=""; content:""&sid=""; content:""&phase=""; metadata:impact_flag red,ruleset community; service:http; reference:url,www.virustotal.com/"
3628,,MALWARE-CNC Win.Trojan.Dropper variant outbound connection,"alert tcp $HOME_NET any -> $EXTERNAL_NET $FILE_DATA_PORTS ( msg:""MALWARE-CNC Win.Trojan.Dropper variant outbound connection""; flow:to_server,established; http_client_body; content:""IHkoeWRrcnkpIikqNy95ZCB5LSl5ZCB5"",depth 40,fast_pattern; http_header; content:!""Referer|3A|"",nocase; metadata:impact_flag red,policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; service:http; reference:url,www.virustotal.com/"
3630,,MALWARE-CNC Win.Trojan.Kraens delivery attempt,"alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any ( msg:""MALWARE-CNC Win.Trojan.Kraens delivery attempt""; flow:to_client,established; flowbits:isset,file.exe; file_data; content:""{|22|i|22|:|22|%s|22|,|22|l|22|:["",fast_pattern,nocase; content:""RES_OK""; metadata:impact_flag red,policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; service:ftp-data,http,imap,pop3; reference:url,www.virustotal.com/"
3631,,MALWARE-CNC Win.Trojan.Kraens delivery attempt,"alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25 ( msg:""MALWARE-CNC Win.Trojan.Kraens delivery attempt""; flow:to_server,established; flowbits:isset,file.exe; file_data; content:""{|22|i|22|:|22|%s|22|,|22|l|22|:["",fast_pattern,nocase; content:""RES_OK""; metadata:impact_flag red,policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; service:smtp; reference:url,www.virustotal.com/"
3633,,MALWARE-CNC Win.Adware.Doyo initial connection,"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""MALWARE-CNC Win.Adware.Doyo initial connection""; flow:to_server,established; http_client_body; content:""data=85702b2fccafcb2f"",depth 21; metadata:impact_flag red,ruleset community; service:http; reference:url,www.virustotal.com/"
3634,,MALWARE-CNC Win.Adware.Doyo client outbound connection,"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""MALWARE-CNC Win.Adware.Doyo client outbound connection""; flow:to_server,established; content:""|01 00 00 00 01 01 00 00 01 00 00 00 00 00 04 00 03 00 00 00 00 00 00 00 00 00 00 00|"",depth 28; metadata:impact_flag red,ruleset community; service:http; reference:url,www.virustotal.com/"
3636,,MALWARE-CNC Vbs.Downloader.Agent inbound connection,"alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any ( msg:""MALWARE-CNC Vbs.Downloader.Agent inbound connection""; flow:to_client,established; flowbits:isset,file.ole; file_data; content:""3832D640-CF90-11CF-8E43-00A0C911005A"",fast_pattern,nocase; content:""Workbook_Open"",nocase; content:""Document_Open"",nocase; metadata:policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; service:ftp-data,http,imap,pop3; reference:url,www.virustotal.com/"
3637,,MALWARE-CNC Vbs.Downloader.Agent inbound connection,"alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25 ( msg:""MALWARE-CNC Vbs.Downloader.Agent inbound connection""; flow:to_server,established; flowbits:isset,file.ole; file_data; content:""3832D640-CF90-11CF-8E43-00A0C911005A"",fast_pattern,nocase; content:""Workbook_Open"",nocase; content:""Document_Open"",nocase; metadata:policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; service:smtp; reference:url,www.virustotal.com/"
3638,,MALWARE-CNC Vbs.Downloader.Agent inbound connection,"alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any ( msg:""MALWARE-CNC Vbs.Downloader.Agent inbound connection""; flow:to_client,established; flowbits:isset,file.ole; file_data; content:""Shell"",nocase; content:""vbHide"",within 100,fast_pattern; content:""Chr"",nocase; content:""Asc"",within 100,nocase; metadata:policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; service:ftp-data,http,imap,pop3; reference:url,www.virustotal.com/"
3639,,MALWARE-CNC Vbs.Downloader.Agent inbound delivery attempt,"alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25 ( msg:""MALWARE-CNC Vbs.Downloader.Agent inbound delivery attempt""; flow:to_server,established; flowbits:isset,file.ole; file_data; content:""Shell"",nocase; content:""vbHide"",within 100,fast_pattern; content:""Chr"",nocase; content:""Asc"",within 100,nocase; metadata:policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; service:smtp; reference:url,www.virustotal.com/"
3660,,MALWARE-CNC Win.Trojan.Dropper malicious script download attempt,"alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any ( msg:""MALWARE-CNC Win.Trojan.Dropper malicious script download attempt""; flow:to_client,established; file_data; content:""<script"",nocase; content:""ActiveXObject"",nocase; content:""WScript.Shell"",fast_pattern,nocase; content:""p o w e r s h e l l"",nocase; metadata:impact_flag red,policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; service:ftp-data,http,imap,pop3; reference:url,virustotal.com/"
